"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"social_spam_prevention.module:24","About","","","False","","",""
"social_spam_prevention.permissions.yml:0","Access to spam prevention configuration","","","False","","",""
"src/Form/SocialSpamPreventionSettingsForm.php:81","Block users who create spam","","","False","","",""
"social_spam_prevention.routing.yml:0","Blocked users","","","False","","",""
"social_spam_prevention.permissions.yml:0","Bypass spam prevention","","","False","","",""
"social_spam_prevention.permissions.yml:0","Configure Social Spam Prevention settings","","","False","","",""
"social_spam_prevention.permissions.yml:0","Do not block user if he use spam words","","","False","","",""
"src/Form/SocialSpamPreventionSettingsForm.php:89","Entity types","","","False","","",""
"src/Form/SocialSpamPreventionSettingsForm.php:82","If enabled, the user who create a spam content will be blocked","","","False","","",""
"src/Form/SocialSpamPreventionSettingsForm.php:124","List of words considered as a spam (separated with a comma). </br>
      Please note that for files we're only checking the file name, not its content.","","","False","","",""
"social_spam_prevention.info.yml:0","Provides functionality to prevent spam content creation.","","","False","","",""
"src/Form/SocialSpamPreventionSettingsForm.php:90","Select content types that need to be spam words checked.","","","False","","",""
"social_spam_prevention.links.menu.yml:0","Set the configuration to prevent spam","","","False","","",""
"social_spam_prevention.links.menu.yml:0","Set the configuration to prevent spam.","","","False","","",""
"social_spam_prevention.links.task.yml:0","Settings","","","False","","",""
"social_spam_prevention.info.yml:0","Social","","","False","","",""
"social_spam_prevention.info.yml:0","Social Spam Prevention","","","False","","",""
"social_spam_prevention.routing.yml:0","Spam prevention settings","","","False","","",""
"src/Form/SocialSpamPreventionSettingsForm.php:123","Spam words","","","False","","",""
"src/Service/SpamWordsChecker.php:130","The field contains data that is not allowed on this platform. Please contact the site manager for further information.","","","False","","",""
"social_spam_prevention.module:25","The module provide functionality to prevent spam content creation","","","False","","",""
"src/Service/SpamWordsChecker.php:157","The user %name is blocked because of creating spam content.","","","False","","",""
"src/Service/SpamWordsChecker.php:141","User @user has attempted to @operation a @type @label with spam words!","","","False","","",""
