"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"modules/social_admin_notifications/config/install/message.template.create_comment_platform.yml:0;0;0","<p><a href=""[message:author:url:absolute]"">[message:author:display-name]</a> created a <a href=""[message:field_message_related_object:entity:url:absolute]"">comment</a> on [social_comment:commented_entity_link_html] in the platform</p>","<p><a href=""[message:author:url:absolute]"">[message:author:display-name]</a> ha creato un <a href=""[message:field_message_related_object:entity:url:absolute]"">commento</a> su [social_comment:commented_entity_link_html] sulla piattaforma</p>","","False","","",""
"modules/social_admin_notifications/config/install/message.template.create_post_platform.yml:0;0;0","<p><a href=""[message:author:url:absolute]"">[message:author:display-name]</a> created a <a href=""[message:field_message_related_object:entity:url:absolute]"">post</a> in the platform</p>","","","False","","",""
"modules/social_admin_notifications/config/install/message.template.create_user_platform.yml:0;0;0","<p><a href=""[message:author:url:absolute]"">[message:author:display-name]</a> created a new profile in the platform</p>","","","False","","",""
"modules/social_admin_notifications/config/install/message.template.create_group_platform.yml:0;0;0","<p><a href=""[message:author:url:absolute]"">[message:author:display-name]</a> created group <a href=""[message:gurl]"">[message:gtitle]</a> in the platform</p>","","","False","","",""
"modules/social_admin_notifications/config/install/message.template.create_node_platform.yml:0;0;0","<p><a href=""[message:author:url:absolute]"">[message:author:display-name]</a> created new content <a href=""[message:field_message_related_object:entity:url:absolute]"">[message:node-title]</a> in the platform</p>","","","False","","",""
"modules/social_admin_notifications/config/install/message.template.create_comment_platform.yml:0","A new comment created in the platform","Un nuovo commento creato nella piattaforma","","False","","",""
"modules/social_admin_notifications/config/install/message.template.create_node_platform.yml:0","A new content (topic or event) created in the platform","Un nuovo contenuto (argomento o evento) creato nella piattaforma","","False","","",""
"modules/social_admin_notifications/config/install/message.template.create_group_platform.yml:0","A new group created in the platform","Un nuovo gruppo creato nella piattaforma","","False","","",""
"modules/social_admin_notifications/config/install/message.template.create_post_platform.yml:0","A new post created in the platform","Un nuovo post creato nella piattaforma","","False","","",""
"modules/social_admin_notifications/config/install/message.template.create_user_platform.yml:0","A new user created in the platform","Un nuovo utente iscritto nella piattaforma","","False","","",""
"modules/social_admin_notifications/src/Plugin/ActivitySend/PlatformEmailActivitySend.php:12","Action that is triggered when a entity is created","Azione che viene attivata quando viene creata un'entità","","False","","",""
"modules/social_admin_notifications/config/install/field.field.message.create_user_platform.field_message_context.yml:0","Context","","","False","","",""
"modules/social_admin_notifications/config/install/field.field.message.create_user_platform.field_message_destination.yml:0","Destinations","","","False","","",""
"modules/social_admin_notifications/config/install/message.template.create_comment_platform.yml:0","New comment in the platform","Nuovo commento nella piattaforma","","False","","",""
"modules/social_admin_notifications/config/install/message.template.create_group_platform.yml:0","New group in the platform","Nuovo gruppo nella piattaforma","","False","","",""
"modules/social_admin_notifications/config/install/message.template.create_node_platform.yml:0","New node in the platform","Nuovo oggetto nella piattaforma","","False","","",""
"modules/social_admin_notifications/config/install/message.template.create_post_platform.yml:0","New post in the platform","Nuovo post nella piattaforma","","False","","",""
"modules/social_admin_notifications/config/install/message.template.create_user_platform.yml:0","New user in the platform","Nuovo utente nella piattaforma","","False","","",""
"modules/social_admin_notifications/src/Plugin/ActivityDestination/PlatformEmailActivityDestination.php:13","Platform Email","","","False","","",""
"modules/social_admin_notifications/src/Plugin/ActivityContext/PlatformActivityContext.php:13","Platform activity context","","","False","","",""
"modules/social_admin_notifications/src/Plugin/QueueWorker/PlatformActivitySendEmailWorker.php:16","Process platform_activity_send_email queue.","","","False","","",""
"social_admin.info.yml:0","Provides administration feature.","","","False","","",""
"modules/social_admin_notifications/social_admin_notifications.info.yml:0","Provides notifications about system activity for administrators.","","","False","","",""
"modules/social_admin_notifications/social_admin_notifications.permissions.yml:0","Receive e-mail notifications about platform activity","","","False","","",""
"modules/social_admin_notifications/config/install/field.field.message.create_user_platform.field_message_related_object.yml:0","Related object","","","False","","",""
"modules/social_admin_notifications/social_admin_notifications.info.yml:0","Social","Social","","False","","",""
"social_admin.info.yml:0","Social Admin","","","False","","",""
"modules/social_admin_notifications/social_admin_notifications.info.yml:0","Social Admin Notifications","","","False","","",""
"modules/social_admin_notifications/social_admin_notifications.module:20","System Email notifications","Notifiche di sistema attraveso email","","False","","",""
"modules/social_admin_notifications/social_admin_notifications.module:74","System notification from %site_name","","","False","","",""
