"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/Form/SocialSearchGridSettingsForm.php:98","'@label'","'@label'","","False","","",""
"src/Plugin/views/style/LimitGrouping.php:219","'@new_title'","'@new_title'","","False","","",""
"modules/social_search_grid_promoted/social_search_grid_promoted.routing.yml:0","Add promoted search result","Gefördertes Suchergebnis hinzufügen","","False","","",""
"social_search_grid.permissions.yml:0","Administer Search Grid Settings","Einstellungen des Suchrasters verwalten","","False","","",""
"config/schema/social_search_grid.schema.yml:0","All fields","Alle Felder","","False","","",""
"social_search_grid.permissions.yml:0","Allow access to the search grid settings form to configure blocks.","Ermöglichen Sie den Zugriff auf das Formular für die Suchrasteinstellungen, um Blöcke zu konfigurieren.","","False","","",""
"src/Plugin/search_api/processor/Grouping.php:82","Ascending","aufsteigend","","False","","",""
"modules/social_search_grid_promoted/social_search_grid_promoted.module:47","Assign keywords to a promoted search result to ensure it appears first in search.","Weisen Sie einem beworbenen Suchergebnis Schlüsselwörter zu, damit es in der Suche an erster Stelle erscheint.","","False","","",""
"src/Form/SocialSearchGridSettingsForm.php:84","Bundles","Subtypen","","False","","",""
"templates/views-view--search-all-grid.html.twig:80","Cant’t find what you’re looking for? Try a more generic search term or searching by category.","Sie haben nicht gefunden, wonach Sie gesucht haben? Versuchen Sie es mit einem allgemeineren Suchbegriff oder einer Suche nach Kategorien.","","False","","",""
"src/Plugin/search_api/processor/Grouping.php:74","Choose the field by to sort within each group, the groups themselves will be sorted by the main query sorts.","Wählen Sie das Feld nach, um innerhalb jeder Gruppe zu sortieren. Die Gruppen selbst werden nach der Hauptsortierung der Abfrage sortiert.","","False","","",""
"src/Plugin/search_api/processor/Grouping.php:66","Choose the fields upon which to collapse the results into groups. Note that while selecting multiple fields is technicially supported, it may result in unexpected behaviour.","Wählen Sie die Felder, nach denen die Ergebnisse in Gruppen zusammengefasst werden sollen. Beachten Sie, dass die Auswahl mehrerer Felder zwar technisch unterstützt wird, aber zu einem unerwarteten Verhalten führen kann.","","False","","",""
"modules/social_search_grid_promoted/social_search_grid_promoted.info.yml:0","Community managers have the need to manipulate the search result and promote certain results connected to keywords.","Community-Manager haben das Bedürfnis, die Suchergebnisse zu manipulieren und bestimmte Ergebnisse im Zusammenhang mit Schlüsselwörtern zu fördern.","","False","","",""
"config/install/social_search_grid.settings.yml:0","Content","Inhalt","","False","","",""
"src/Plugin/search_api/processor/Grouping.php:135","Converted to string for indexing","Für die Indizierung in eine Zeichenkette umgewandelt","","False","","",""
"src/Form/SocialSearchGridSettingsForm.php:77","Custom grouping label","Benutzerdefiniertes Gruppierungsetikett","","False","","",""
"src/Plugin/search_api/processor/Grouping.php:83","Descending","absteigend","","False","","",""
"social_search_grid.info.yml:0","Display search all results as a grid.","Alle Suchergebnisse als Raster anzeigen.","","False","","",""
"config/install/social_search_grid.settings.yml:0","Events","Veranstaltungen","","False","","",""
"src/Plugin/views/field/SearchGridApiRenderedItem.php:33","Failed to load item %item_id in view %view.","Das Element %item_id konnte nicht in die Ansicht %view geladen werden.","","False","","",""
"config/schema/social_search_grid.schema.yml:0","Field name","Feldname","","False","","",""
"src/Plugin/search_api/processor/Grouping.php:63","Fields to collapse on","Felder zum Einklappen auf","","False","","",""
"modules/social_search_grid_promoted/social_search_grid_promoted.module:49","For example, assign keywords like “Handbook” and “Guide” to the search result “Volunteers 2022 Handbook” so it appears first.","Weisen Sie z. B. dem Suchergebnis ""Handbuch für Freiwillige 2022"" Schlüsselwörter wie ""Handbuch"" und ""Leitfaden"" zu, damit es zuerst erscheint.","","False","","",""
"src/Plugin/search_api/processor/Grouping.php:72","Group sort","Gruppensortierung","","False","","",""
"src/Plugin/search_api/processor/Grouping.php:80","Group sort direction","Sortierrichtung der Gruppe","","False","","",""
"src/Plugin/search_api/processor/Grouping.php:9","Grouping","Gruppierung","","False","","",""
"src/Plugin/views/style/LimitGrouping.php:11","Grouping Field (with Limit)","Gruppierungsfeld (mit Grenze)","","False","","",""
"src/Form/SocialSearchGridSettingsForm.php:104","Grouping label","Etikett gruppieren","","False","","",""
"config/schema/social_search_grid.schema.yml:0","Grouping processor configuration","Gruppierung der Prozessorkonfiguration","","False","","",""
"src/Form/SocialSearchGridSettingsForm.php:117","Grouping weight","Gewicht der Gruppierung","","False","","",""
"config/install/social_search_grid.settings.yml:0","Groups","Gruppen","","False","","",""
"config/schema/social_search_grid.schema.yml:0","How many entries a groups should have","Wie viele Einträge eine Gruppe haben sollte","","False","","",""
"config/schema/social_search_grid.schema.yml:0","How to sort the groups","Wie man die Gruppen sortiert","","False","","",""
"src/Plugin/search_api/processor/Grouping.php:91","If checked, facet counts are based on the most relevant document of each group matching the query, otherwise they are calculated for all documents before grouping.","Wenn diese Option aktiviert ist, basiert die Facettenzählung auf dem relevantesten Dokument jeder Gruppe, das der Abfrage entspricht, andernfalls wird sie für alle Dokumente vor der Gruppierung berechnet.","","False","","",""
"modules/social_search_grid_promoted/src/Plugin/Block/PromotedSearchBlock.php:117","If enabled, you will be able to search e.g. ""Conference"" and find results ”conference 2022” and ""conference 2021"".","Wenn diese Funktion aktiviert ist, können Sie z. B. nach ""Konferenz"" suchen und die Ergebnisse ""Konferenz 2022"" und ""Konferenz 2021"" finden.","","False","","",""
"config/schema/social_search_grid.schema.yml:0","If truncate is activated","Wenn Trunkierung aktiviert ist","","False","","",""
"templates/views-view--search-all-grid.html.twig:79;92","Informative message","Informative Nachricht","","False","","",""
"src/Plugin/views/field/SearchGridApiRenderedItem.php:44","Item of unknown datasource %datasource returned in view %view.","Element der unbekannten Datenquelle %datasource in der Ansicht %view zurückgegeben.","","False","","",""
"src/Plugin/views/style/LimitGrouping.php:84","Items to display:","Anzahl anzuzeigender Einträge","","False","","",""
"modules/social_search_grid_promoted/social_search_grid_promoted.module:52","Keyword","Schlüsselwort","","False","","",""
"src/Plugin/views/style/LimitGrouping.php:74","Limit for grouping field Nr.!num","Grenze für Gruppierungsfeld Nr.!num","","False","","",""
"src/Plugin/views/style/LimitGrouping.php:11","Limit the number of rows for each grouping field","Begrenzen Sie die Anzahl der Zeilen für jedes Gruppierungsfeld","","False","","",""
"social_search_grid.links.task.yml:0;0","Most relevant","Am wichtigsten","","False","","",""
"modules/social_search_grid_promoted/social_search_grid_promoted.module:65","No promoted results available. @link.","Keine beförderten Ergebnisse verfügbar. @link.","","False","","",""
"src/Plugin/search_api/processor/Grouping.php:127","None","Keine","","False","","",""
"modules/social_search_grid_promoted/src/Plugin/Block/PromotedSearchBlock.php:125","Number of promoted search results","Anzahl der beworbenen Suchergebnisse","","False","","",""
"src/Plugin/views/style/LimitGrouping.php:93","Offset:","Versetzt:","","False","","",""
