"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"social_pwa.module:217","<h5>Current device</h5>","<h5>Dispositivo corrente</h5>","",FALSE,"","",""
"src/Form/ManifestSettingsForm.php:181","<u>When the site is being launched from the homescreen, you can launch it in:</u></br><b>Fullscreen:</b><i> This will cover up the entire display of the device.</i></br><b>Standalone:</b> <i>(default) Kind of the same as Fullscreen, but only shows the top info bar of the device. (Telecom provider, time, battery etc.)</i></br><b>Browser:</b> <i>It will simply just run from the browser on your device with all the user interface elements of the browser.</i>","<u> Quando il sito viene avviato dalla schermata iniziale, è possibile avviarlo in: </u> </br> <b>Schermo intero:</b> <i> Questo coprirà l'intero display del dispositivo. </i> </br> <b> Standalone: </b> <i> (impostazione predefinita) Simile a Schermo intero, ma mostra solo la barra delle informazioni superiore del dispositivo. (Provider di telecomunicazioni, ora, batteria ecc.) </i> </br> <b> Browser: </b> <i> verrà eseguito semplicemente dal browser sul tuo dispositivo con tutti gli elementi dell'interfaccia utente del browser . </i>","",FALSE,"","",""
"modules/activity_send_push/src/Plugin/ActivitySend/PushActivitySend.php:7","Action that is triggered when a entity is created","Azione che viene attivata quando viene creata un'entità","",FALSE,"","",""
"modules/activity_send_push/activity_send_push.info.yml:0","Activity Send Web Push","Attività invia una notifica push","",FALSE,"","",""
"social_pwa.permissions.yml:0","Administer PWA and Push notification settings","Amministrazione delle impostazioni PWA e notifiche push","",FALSE,"","",""
"src/Form/ManifestSettingsForm.php:159","Advanced settings","Impostazioni avanzate","",FALSE,"","",""
"social_pwa.permissions.yml:0","Allows access to administering settings for Progressive Web App and Push notifications.","Consente l'accesso alle impostazioni di amministrazione per Progressive Web App e notifiche push.","",FALSE,"","",""
"social_pwa.permissions.yml:0","Allows access to broadcasting a push notification message to any user that has this enabled.","Consente l'accesso alla trasmissione di un messaggio di notifica push a qualsiasi utente che lo abbia abilitato.","",FALSE,"","",""
"src/Form/ManifestSettingsForm.php:145","Background Color","Colore di sfondo","",FALSE,"","",""
"social_pwa.routing.yml:0","Broadcast Push Notification","Broadcast Notifiche Push","",FALSE,"","",""
"social_pwa.permissions.yml:0","Broadcast a push notification","Broadcast notifica push","",FALSE,"","",""
"src/Form/ManifestSettingsForm.php:185","Browser","Browser","",FALSE,"","",""
"js/main.js:0","Choose enable to receive important updates straight away!","Scegli abilita per ricevere immediatamente aggiornamenti importanti!","",FALSE,"","",""
"social_pwa.links.menu.yml:0","Configure the Manifest.json output.","Configurare l'output Manifest.json.","",FALSE,"","",""
"src/Form/ManifestSettingsForm.php:192","Configures if the site should run in <b>Portrait</b> (default) or <b>Landscape</b> mode on the device when being launched from the homescreen.","Configura se il sito deve essere eseguito in modalità <b> Verticale </b> (impostazione predefinita) o <b> Orizzontale </b> sul dispositivo quando viene avviato dalla schermata iniziale.","",FALSE,"","",""
"src/Form/ManifestSettingsForm.php:113","Disabling the push notifications and PWA will ensure that no user is able to configure and receive push notifications. Nor will any other Progressive Web App functions be available.","La disabilitazione delle notifiche push e PWA assicurerà che nessun utente sia in grado di configurare e ricevere notifiche push. Né saranno disponibili altre funzioni di Progressive Web App.","",FALSE,"","",""
"src/Form/ManifestSettingsForm.php:179","Display","Schermo","",FALSE,"","",""
"js/main.js:0","Enable","Abilita","",FALSE,"","",""
"src/Form/ManifestSettingsForm.php:111","Enable push notifications and PWA","Abilita notifiche push e PWA","",FALSE,"","",""
"src/Form/ManifestSettingsForm.php:129","Enter the name of your website.","Inserisci il nome del tuo sito.","",FALSE,"","",""
"src/Form/ManifestSettingsForm.php:183","Fullscreen","Schermo pieno","",FALSE,"","",""
"social_pwa.install:52","GMP library","Libreria GMP","",FALSE,"","",""
"src/Form/ManifestSettingsForm.php:133","General App Icon","Icona App Generale","",FALSE,"","",""
"src/Form/ManifestSettingsForm.php:104","In order for push notifications and your Progressive Web App to work you will need to configure the settings below.","Affinché le notifiche push e la tua Progressive Web App funzionino, dovrai configurare le seguenti impostazioni.","",FALSE,"","",""
"src/Form/ManifestSettingsForm.php:195","Landscape","Orizzontale","",FALSE,"","",""
"social_pwa.info.yml:0","Makes the website ""Installable"" like an App on smartphones and enhances it with Service Workers for the use of Push Notifications and an Offline User Experience.","Rende il sito ""Installabile"" come un'App su smartphone e lo arricchisce con Service Workers per l'utilizzo di notifiche push e Offline User Experience.","",FALSE,"","",""
"src/Form/PushNotificationForm.php:83","Message","Messaggio","",FALSE,"","",""
"src/Form/PushNotificationForm.php:153","Message was successfully sent!","Il messaggio è stato inviato con successo!","",FALSE,"","",""
"src/Form/ManifestSettingsForm.php:126","Name","Nome","",FALSE,"","",""
"social_pwa.install:67","No VAPID keys found.","Non sono state trovate chiavi VAPID.","",FALSE,"","",""
"social_pwa.install:47","Not installed","Non installato","",FALSE,"","",""
"js/main.js:0","Not now","Non ora","",FALSE,"","",""
"src/Form/ManifestSettingsForm.php:190","Orientation","Orientamento","",FALSE,"","",""
"social_pwa.install:42","PHP GMP library is installed.","La libreria PHP GMP è installata.","",FALSE,"","",""
"src/Form/ManifestSettingsForm.php:164","Please notice:","Si prega di notare:","",FALSE,"","",""
"src/Form/ManifestSettingsForm.php:194","Portrait","Verticale","",FALSE,"","",""
"src/Form/ManifestSettingsForm.php:134","Provide a square (.png) image. This image serves as your icon when the user adds the website to their home screen. <i>Minimum dimensions are 512px by 512px.</i>","Fornisci un'immagine quadrata (.png). Questa immagine funge da icona quando l'utente aggiunge il sito Web alla schermata iniziale. <i>Le dimensioni minime sono 512px by 512px.</i>","",FALSE,"","",""
"src/Form/ManifestSettingsForm.php:100","Push notification configuration","Configurazione delle notifiche push","",FALSE,"","",""
"social_pwa.module:206","Push notifications","Notifiche Push","",FALSE,"","",""
"social_pwa.install:72","Push notifications VAPID keys","Notifiche push Chiavi VAPID","",FALSE,"","",""
"src/Form/ManifestSettingsForm.php:147","Select a background color for the launch screen. This is shown when the user opens the website from their homescreen.","Seleziona un colore di sfondo per la schermata di avvio. Viene visualizzato quando l'utente apre il sito Web dalla schermata iniziale.","",FALSE,"","",""
"src/Form/PushNotificationForm.php:93","Send Push Notification","Invia notifica push","",FALSE,"","",""
"src/Form/PushNotificationForm.php:64","Send a Push Notification","Invia Notifica Push","",FALSE,"","",""
"social_pwa.links.menu.yml:0","Send push notifications to that have enabled notifications","Invia notifiche push a chi ha abilitato le notifiche","",FALSE,"","",""
"src/Form/PushNotificationForm.php:31","Sending push notifications is disabled.","L'invio di notifiche push è disabilitato.","",FALSE,"","",""
"src/Form/ManifestSettingsForm.php:118","Short name","Nome corto","",FALSE,"","",""
"social_pwa.module:213","Show notifications in the corner of your computer screen, even if the website is closed.","Mostra le notifiche nell'angolo dello schermo del computer, anche se il sito web è chiuso.","",FALSE,"","",""
"modules/activity_send_push/activity_send_push.info.yml:0","Social","Social","",FALSE,"","",""
"social_pwa.info.yml:0","Social PWA","PWA Social","",FALSE,"","",""
"social_pwa.routing.yml:0","Social PWA Settings","Impostazioni Social PWA","",FALSE,"","",""
"src/Form/ManifestSettingsForm.php:184","Standalone","Indipendente","",FALSE,"","",""
"src/Form/ManifestSettingsForm.php:170","Start URL","URL iniziale","",FALSE,"","",""
"social_pwa.install:49","The GMP library for PHP is missing or outdated. Check the <a href=""http://php.net/manual/book.gmp.php"">PHP GMP documentation</a> for information on how to correct this.","La libreria GMP per PHP non è presente o è obsoleta. Verifica la <a href=""http://php.net/manual/book.gmp.php"">documentazione PHP GMP</a> per sapere come risolvere.","",FALSE,"","",""
"social_pwa.install:14","The Social PWA module has been enabled.","Il modulo Social PWA è stato abilitato.","",FALSE,"","",""
"src/Form/ManifestSettingsForm.php:207","The path '%path' has to start with a slash.","Il percorso '%path' deve iniziare con slash.","",FALSE,"","",""
"src/Form/ManifestSettingsForm.php:173","The scope for the Service Worker.","Lo scopo per il Service Worker.","",FALSE,"","",""
"src/Form/ManifestSettingsForm.php:151","Theme Color","Colore del tema","",FALSE,"","",""
"src/Form/PushNotificationForm.php:58","There are currently no users subscribed to receive push notifications.","Al momento non ci sono utenti iscritti per ricevere notifiche push.","",FALSE,"","",""
"js/main.js:0","These can always be disabled in <strong>Settings</strong>.","Possono essere sempre disattivati in <strong> Impostazioni </strong>.","",FALSE,"","",""
"src/Form/ManifestSettingsForm.php:166","These settings have been set automatically to serve the most common use cases. Only change these settings if you know what you are doing.","Queste impostazioni sono state configurate automaticamente secondo le necessità più comuni. Modifica queste impostazioni solo se sai cosa stai facendo.","",FALSE,"","",""
"src/Form/ManifestSettingsForm.php:153","This color is used to create a consistent experience in the browser when the users launch your website from their homescreen.","Questo colore viene utilizzato per creare un'esperienza coerente nel browser quando gli utenti avviano il tuo sito Web dalla schermata iniziale.","",FALSE,"","",""
"src/Form/PushNotificationForm.php:70","This is a list of users that have given permission to receive notifications.","Questo è un elenco di utenti che hanno autorizzato la ricezione delle notifiche.","",FALSE,"","",""
"src/Form/ManifestSettingsForm.php:122","This is the name the user will see when they add your website to their homescreen. You might want to keep this short.","Questo è il nome che l'utente vedrà quando aggiunge il tuo sito web alla schermata iniziale. Potrebbe essere utile mantenerlo corto.","",FALSE,"","",""
"src/Form/PushNotificationForm.php:87","This will be the <b>message</b> of the Push Notification.","Questo sarà il <b> messaggio </b> della notifica push.","",FALSE,"","",""
"src/Form/PushNotificationForm.php:79","This will be the <b>title</b> of the Push Notification. <i>(Static value for now)</i>","Questo sarà il <b> titolo </b> della notifica push. <i> (valore statico per ora) </i>","",FALSE,"","",""
"src/Form/PushNotificationForm.php:75","Title","Titolo","",FALSE,"","",""
"src/Form/PushNotificationForm.php:69","To user","All'utente","",FALSE,"","",""
"modules/activity_send_push/activity_send_push.info.yml:0","Used to send activity notifications by Web Push","Utilizzato per inviare notifiche di attività tramite Web Push","",FALSE,"","",""
"social_pwa.install:62","VAPID keys are generated.","Chiavi VAPID sono state generate.","",FALSE,"","",""
"modules/activity_send_push/src/Plugin/ActivityDestination/PushActivityDestination.php:8","Web Push","Web Push","",FALSE,"","",""
"social_pwa.install:69","Without VAPID keys no push notifications can be send. Turning the Social PWA module off and on again should generate new keys.","Senza chiavi VAPID non sarà possibile inviare notifiche. Disattivare e attivare nuovamente il modulo Social PWA dovrebbe generare nuove chiavi.","",FALSE,"","",""
"js/main.js:0","Would you like to enable <strong>push notifications</strong>?","Vuoi abilitare le <strong>notifiche push</strong>?","",FALSE,"","",""
"social_pwa.module:281","You have denied receiving push notifications through your browser. Please <a href=""@url"" target=""_blank"">reset your browser setting</a> for receiving notifications.","Hai negato di ricevere notifiche push tramite il tuo browser. Per favore <a href=""@url"" target=""_blank""> reimposta le impostazioni del browser </a> per ricevere le notifiche.","",FALSE,"","",""
"social_pwa.module:286","You have denied receiving push notifications through your browser. Please reset your browser setting for receiving notifications.","Hai negato di ricevere notifiche push tramite il tuo browser. Ripristina le impostazioni del browser per ricevere le notifiche.","",FALSE,"","",""
"js/main.js:0","Your browser does not support push notifications.","Il tuo browser non supporta le notifiche push.","",FALSE,"","",""
