"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/ImportUser.php:142","'@operation: Processed @count items (@created created, @updated updated, @failed failed, @ignored ignored)'","'@operation: Processata @count items (@created created, @updated updated, @failed failed, @ignored ignored)'","",FALSE,"","",""
"social_migrate.permissions.yml:0","Access to configuration the migration of users","","",FALSE,"","",""
"social_migrate.permissions.yml:0","Access to import users","","",FALSE,"","",""
"social_migrate.module:144","Body","Corpo","",FALSE,"","",""
"src/Form/MigrateUsersForm.php:36","CSV File. Should be in the format as the @link","","",FALSE,"","",""
"src/Form/MigrateUsersSettingsForm.php:229","CSV field: @field","","",FALSE,"","",""
"social_migrate.drush.inc:28","Cancel data from a CSV file","","",FALSE,"","",""
"social_migrate.drush.inc:17","Comma-separated list of IDs to import","","",FALSE,"","",""
"social_migrate.permissions.yml:0","Configure import","","",FALSE,"","",""
"src/Form/MigrateUsersSettingsForm.php:121","Current queue will be processed and users from queue will receive invitation immediately","","",FALSE,"","",""
"src/Form/MigrateUsersForm.php:26","Email invitations will be send immediately by cron.","","",FALSE,"","",""
"src/Form/MigrateUsersForm.php:29","Email invitations will not be send immediately.","","",FALSE,"","",""
"assets/js/social_migrate.settings.js:0","Example CSV file","","",FALSE,"","",""
"social_migrate.drush.inc:20","Execute all dependent migrations first.","","",FALSE,"","",""
"src/Form/MigrateUsersSettingsForm.php:127","Fields to import","","",FALSE,"","",""
"social_migrate.drush.inc:56;87","File @filename doesn't exists.","","",FALSE,"","",""
"src/Form/MigrateUsersForm.php:79","File should be a CSV format","","",FALSE,"","",""
"social_migrate.drush.inc:19","Force an operation to run, even if all dependencies are not satisfied","","",FALSE,"","",""
"social_migrate.drush.inc:16;32","Frequency of progress messages, in items processed","","",FALSE,"","",""
"social_migrate.drush.inc:30","Identifier of migration plugins separated by comma","","",FALSE,"","",""
"social_migrate.drush.inc:13","Identifiers of migration plugins separated by comma","","",FALSE,"","",""
"src/Form/MigrateUsersForm.php:58","If do not set, already existing accounts will be skipped.","","",FALSE,"","",""
"social_migrate.drush.inc:11","Import data from a CSV file","","",FALSE,"","",""
"config/install/migrate_plus.migration.social_users.yml:0","Import user accounts","","",FALSE,"","",""
"config/install/migrate_plus.migration.social_profiles.yml:0","Import user profiles","","",FALSE,"","",""
"social_migrate.permissions.yml:0","Import users","","",FALSE,"","",""
"social_migrate.drush.inc:18","In addition to processing unprocessed items from the source, update previously-imported items with the current data","","",FALSE,"","",""
"src/Form/MigrateUsersSettingsForm.php:97","Invitation status","Stato degli inviti","",FALSE,"","",""
"src/Form/MigrateUsersSettingsForm.php:115","Invites sent","","",FALSE,"","",""
"social_migrate.drush.inc:15","Limit on the number of items to process in each migration","","",FALSE,"","",""
"social_migrate.links.task.yml:0","Migration","Migrazione","",FALSE,"","",""
"src/Form/MigrateUsersForm.php:119","Migration @id did not meet the requirements. @message @requirements","La migrazione @id non soddisfa i requisiti. @message @requirements","",FALSE,"","",""
"src/Form/MigrateUsersForm.php:106","Migration @id is busy with another operation: @status","La migrazione @id è occupata con un'altra operazione: @status","",FALSE,"","",""
"src/Form/MigrateUsersForm.php:134;166","Migration failed with source plugin exception: @e","La migrazione non è riuscita a causa di una eccezione nel plugin sorgente: @e","",FALSE,"","",""
"social_migrate.routing.yml:0","Migration settings","","",FALSE,"","",""
"social_migrate.routing.yml:0","Migration users","","",FALSE,"","",""
"social_migrate.links.menu.yml:0","Migration users settings","","",FALSE,"","",""
"src/ImportUser.php:97","New object was not saved, no error provided","Il nuovo oggetto non è stato salvato, nessun errore fornito","",FALSE,"","",""
"src/Form/MigrateUsersForm.php:180","No items to import","","",FALSE,"","",""
"social_migrate.info.yml:0","Provides users transfer from legacy platform","","",FALSE,"","",""
"src/Form/MigrateUsersSettingsForm.php:120","Send invites","","",FALSE,"","",""
"src/Plugin/QueueWorker/SendInvites.php:11","Send invites to the imported users","","",FALSE,"","",""
"social_migrate.info.yml:0","Social","Social","",FALSE,"","",""
"social_migrate.info.yml:0","Social Migrate","","",FALSE,"","",""
"src/Form/MigrateUsersForm.php:35","Source","Sorgente","",FALSE,"","",""
"social_migrate.module:137","Subject","Oggetto","",FALSE,"","",""
"src/Form/MigrateUsersForm.php:67","Submit","Invia","",FALSE,"","",""
"social_migrate.drush.inc:51;82","The ""migration"" parameter is invalid","","",FALSE,"","",""
"src/Form/MigrateUsersForm.php:92","The CSV file contains duplicates: @list","","",FALSE,"","",""
"src/Form/MigrateUsersSettingsForm.php:128","The list of fields will be imported during migration","","",FALSE,"","",""
"social_migrate.drush.inc:14;31","The path to a CSV file","","",FALSE,"","",""
"social_migrate.module:129","This message will be sent to users when users are migrated or imported.","","",FALSE,"","",""
"src/Form/MigrateUsersForm.php:57","Update existing accounts","","",FALSE,"","",""
"src/Form/MigrateUsersSettingsForm.php:102","Users imported","","",FALSE,"","",""
"src/Form/MigrateUsersSettingsForm.php:110","Users in queue","","",FALSE,"","",""
"social_migrate.module:128","Welcome (invitation after migration)","","",FALSE,"","",""
