"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/ImportUser.php:142","'@operation: Processed @count items (@created created, @updated updated, @failed failed, @ignored ignored)'","","","False","","",""
"social_migrate.permissions.yml:0","Access to configuration the migration of users","","","False","","",""
"social_migrate.permissions.yml:0","Access to import users","","","False","","",""
"social_migrate.module:144","Body","Textkörper","","False","","",""
"src/Form/MigrateUsersForm.php:36","CSV File. Should be in the format as the @link","","","False","","",""
"src/Form/MigrateUsersSettingsForm.php:229","CSV field: @field","","","False","","",""
"social_migrate.drush.inc:28","Cancel data from a CSV file","","","False","","",""
"social_migrate.drush.inc:17","Comma-separated list of IDs to import","","","False","","",""
"social_migrate.permissions.yml:0","Configure import","","","False","","",""
"src/Form/MigrateUsersSettingsForm.php:121","Current queue will be processed and users from queue will receive invitation immediately","","","False","","",""
"src/Form/MigrateUsersForm.php:26","Email invitations will be send immediately by cron.","","","False","","",""
"src/Form/MigrateUsersForm.php:29","Email invitations will not be send immediately.","","","False","","",""
"assets/js/social_migrate.settings.js:0","Example CSV file","","","False","","",""
"social_migrate.drush.inc:20","Execute all dependent migrations first.","","","False","","",""
"src/Form/MigrateUsersSettingsForm.php:127","Fields to import","","","False","","",""
"social_migrate.drush.inc:56;87","File @filename doesn't exists.","","","False","","",""
"src/Form/MigrateUsersForm.php:79","File should be a CSV format","","","False","","",""
"social_migrate.drush.inc:19","Force an operation to run, even if all dependencies are not satisfied","","","False","","",""
"social_migrate.drush.inc:16;32","Frequency of progress messages, in items processed","","","False","","",""
"social_migrate.drush.inc:30","Identifier of migration plugins separated by comma","","","False","","",""
"social_migrate.drush.inc:13","Identifiers of migration plugins separated by comma","","","False","","",""
"src/Form/MigrateUsersForm.php:58","If do not set, already existing accounts will be skipped.","","","False","","",""
"social_migrate.drush.inc:11","Import data from a CSV file","","","False","","",""
"config/install/migrate_plus.migration.social_users.yml:0","Import user accounts","","","False","","",""
"config/install/migrate_plus.migration.social_profiles.yml:0","Import user profiles","","","False","","",""
"social_migrate.permissions.yml:0","Import users","","","False","","",""
"social_migrate.drush.inc:18","In addition to processing unprocessed items from the source, update previously-imported items with the current data","","","False","","",""
"src/Form/MigrateUsersSettingsForm.php:97","Invitation status","Status der Einladung","","False","","",""
"src/Form/MigrateUsersSettingsForm.php:115","Invites sent","","","False","","",""
"social_migrate.drush.inc:15","Limit on the number of items to process in each migration","","","False","","",""
"social_migrate.links.task.yml:0","Migration","","","False","","",""
"src/Form/MigrateUsersForm.php:119","Migration @id did not meet the requirements. @message @requirements","Migration @id erfüllt die Voraussetzungen nicht. @message @requirements","","False","","",""
"src/Form/MigrateUsersForm.php:106","Migration @id is busy with another operation: @status","Die Migration @id ist mit einer anderen Aktion beschäftigt: @status","","False","","",""
"src/Form/MigrateUsersForm.php:134;166","Migration failed with source plugin exception: @e","Die Migration ist mit folgender Quellen-Plug-in-Ausnahmebedingung fehlgeschlagen: @e","","False","","",""
"social_migrate.routing.yml:0","Migration settings","","","False","","",""
"social_migrate.routing.yml:0","Migration users","","","False","","",""
"social_migrate.links.menu.yml:0","Migration users settings","","","False","","",""
"src/ImportUser.php:97","New object was not saved, no error provided","Neues Objekt wurde nicht gespeichert, kein Fehler gemeldet","","False","","",""
"src/Form/MigrateUsersForm.php:180","No items to import","","","False","","",""
"social_migrate.info.yml:0","Provides users transfer from legacy platform","","","False","","",""
"src/Form/MigrateUsersSettingsForm.php:120","Send invites","","","False","","",""
"src/Plugin/QueueWorker/SendInvites.php:11","Send invites to the imported users","","","False","","",""
"social_migrate.info.yml:0","Social","Sozial","","False","","",""
"social_migrate.info.yml:0","Social Migrate","","","False","","",""
"src/Form/MigrateUsersForm.php:35","Source","Quelle","","False","","",""
"social_migrate.module:137","Subject","Betreff","","False","","",""
"src/Form/MigrateUsersForm.php:67","Submit","Absenden","","False","","",""
"social_migrate.drush.inc:51;82","The ""migration"" parameter is invalid","","","False","","",""
"src/Form/MigrateUsersForm.php:92","The CSV file contains duplicates: @list","","","False","","",""
"src/Form/MigrateUsersSettingsForm.php:128","The list of fields will be imported during migration","","","False","","",""
"social_migrate.drush.inc:14;31","The path to a CSV file","","","False","","",""
"social_migrate.module:129","This message will be sent to users when users are migrated or imported.","","","False","","",""
"src/Form/MigrateUsersForm.php:57","Update existing accounts","","","False","","",""
"src/Form/MigrateUsersSettingsForm.php:102","Users imported","","","False","","",""
"src/Form/MigrateUsersSettingsForm.php:110","Users in queue","","","False","","",""
"social_migrate.module:128","Welcome (invitation after migration)","","","False","","",""
