"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"social_auth.info.yml:0","Allows login using different social networking services","","","False","","",""
"config/schema/social_auth.schema.yml:0","Allows to Disable Social Auth login for administrator","","","False","","",""
"src/SocialAuthUserManager.php:198","Authentication for '@role' role is disabled.","","","False","","",""
"src/SocialAuthUserManager.php:191","Authentication for Admin (user 1) is disabled.","","","False","","",""
"social_auth.links.menu.yml:0","Configure user authentication settings","","","False","","",""
"src/SocialAuthUserManager.php:337","Could not create new user. Exception: @message","Es konnte kein:e neue:r Benutzer:in erstellt werden. Fehler: @message","","False","","",""
"src/SocialAuthUserManager.php:622","Could not download @plugin_id's provider profile picture from url: @url","","","False","","",""
"src/SocialAuthUserManager.php:606","Could not save @plugin_id's provider profile picture. Directory is not writable: @directory","","","False","","",""
"src/Form/SocialAuthSettingsForm.php:104","Disable Social Auth login for administrator","","","False","","",""
"src/Form/SocialAuthSettingsForm.php:120","Disable Social Auth login for the following roles","","","False","","",""
"src/Form/SocialAuthSettingsForm.php:105","Disabling Social Auth login for administrator (<em>user 1</em>) can help protect your site if a security vulnerability is ever discovered in some Social Network PHP SDK or this module.","","","False","","",""
"src/Form/SocialAuthSettingsForm.php:91","Drupal path or route where the user should be redirected after successful login. If path, it must begin with <em>/, #</em> or <em>?</em>. Use <em>&lt;front&gt;</em> to redirect to front page.","","","False","","",""
"config/schema/social_auth.schema.yml:0","Drupal path where the user should be redirected after successful login","","","False","","",""
"src/SocialAuthUserManager.php:290","Failed to create user. Name: @name, email: @email","","","False","","",""
"src/SocialAuthUserManager.php:298","Failed to create user. User registration is disabled in Drupal account settings. Name: @name, email: @email.","","","False","","",""
"src/Form/SocialAuthSettingsForm.php:98","If you check this, new users are redirected to Drupal user form after the user is created. This is useful if you want to encourage users to fill in additional user fields.","","","False","","",""
"config/schema/social_auth.schema.yml:0","Implementer","","","False","","",""
"config/schema/social_auth.schema.yml:0","Implementer login route setting","","","False","","",""
"social_auth.links.task.yml:0","Integrations","","","False","","",""
"src/SocialAuthUserManager.php:367","Login for user @user prevented. Account is blocked.","","","False","","",""
"src/SocialAuthUserManager.php:323","New user created. Username @username, UID: @uid","","","False","","",""
"src/Form/SocialAuthSettingsForm.php:125","No roles found.","","","False","","",""
"src/Form/SocialAuthSettingsForm.php:90","Post login path or route","","","False","","",""
"src/Form/SocialAuthSettingsForm.php:97","Redirect new users to Drupal user form","","","False","","",""
"config/schema/social_auth.schema.yml:0","Redirects to Drupal user form after the user is created if checked","","","False","","",""
"config/schema/social_auth.schema.yml:0","Role","Rolle","","False","","",""
"config/schema/social_auth.schema.yml:0","Roles for which Social Auth Login is disabled","","","False","","",""
"social_auth.info.yml:0","Social","Sozial","","False","","",""
"social_auth.info.yml:0","Social API Auth","","","False","","",""
"src/Plugin/Block/SocialAuthLoginBlock.php:12","Social Auth Login","","","False","","",""
"src/Form/SocialAuthSettingsForm.php:82","Social Auth Settings","","","False","","",""
"config/schema/social_auth.schema.yml:0","Social Auth implementers","","","False","","",""
"config/schema/social_auth.schema.yml:0","Social Auth settings","","","False","","",""
"src/Form/SocialAuthSettingsForm.php:147","The path or route you entered is not valid.","","","False","","",""
"src/Form/SocialAuthSettingsForm.php:143","The route doesn't exist. If path, it must begin with <em>/, #</em> or <em>?</em>","","","False","","",""
"src/Form/SocialAuthSettingsForm.php:84","These settings allow you to configure how Social Auth module behaves on your Drupal site","","","False","","",""
"social_auth.routing.yml:0","User authentication","","","False","","",""
"src/SocialAuthUserManager.php:300","User registration is disabled, please contact the administrator.","","","False","","",""
"src/SocialAuthUserManager.php:173","You could not be authenticated, please contact the administrator","","","False","","",""
"src/SocialAuthUserManager.php:208","Your account has not been approved yet or might have been canceled, please contact the administrator","","","False","","",""
"src/SocialAuthUserManager.php:225","Your account was created, but it needs administrator's approval","","","False","","",""
