"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/Plugin/Field/FieldWidget/ParagraphsWidget.php:1710","to %type","zu %type","",FALSE,"","",""
"modules/paragraphs_library/src/Form/LibraryItemRevisionRevertForm.php:111","'%title has been reverted to the revision from %revision-date.'","","",FALSE,"","",""
"src/Form/ParagraphsTypeDeleteConfirm.php:24","'%type Paragraphs type is used by 1 piece of content on your site. You can not remove this %type Paragraphs type until you have removed all from the content.'","Der Seitenabschnittstyp %type wird in 1 Beitrag auf der Website verwendet. Der Seitenabschnittstyp %type kann nicht entfernt werden, solange der entsprechende Beitrag nicht entfernt wurde.","",FALSE,"","",""
"modules/paragraphs_type_permissions/src/ParagraphsTypePermissions.php:64","'%type_name: Create content'","'%type_name: Inhalt erstellen'","",FALSE,"","",""
"modules/paragraphs_type_permissions/src/ParagraphsTypePermissions.php:72","'%type_name: Delete content'","'%type_name: Inhalt löschen'","",FALSE,"","",""
"modules/paragraphs_type_permissions/src/ParagraphsTypePermissions.php:68","'%type_name: Edit content'","'%type_name: Inhalt bearbeiten'","",FALSE,"","",""
"modules/paragraphs_type_permissions/src/ParagraphsTypePermissions.php:60","'%type_name: View content'","'%type_name: Inhalt anzeigen'","",FALSE,"","",""
"paragraphs.module:203","(* unsupported) Paragraphs fields do not support translation. See the <a href="":documentation"">online documentation</a>.","(* nicht unterstützte) Felder von Seitenabschnitten können nicht übersetzt werden. Weitere Informationen sind in der <a href="":documentation"">Online-Dokumentation</a> verfügbar.","",FALSE,"","",""
"modules/paragraphs_library/config/optional/views.view.paragraphs_library_browser.yml:0;0;0;0",",",",","",FALSE,"","",""
"modules/paragraphs_library/config/optional/views.view.paragraphs_library_browser.yml:0","'- All -'","'- Alle -'","",FALSE,"","",""
"src/Entity/Paragraph.php:560","1 child","1 Kind","",FALSE,"","",""
"modules/paragraphs_library/config/install/views.view.paragraphs_library.yml:0","1 place","","",FALSE,"","",""
"paragraphs.module:29","<em>Paragraphs types</em> can be created by clicking <em>Add Paragraphs type</em> on the <a href="":paragraphs"">Paragraphs types page</a>. By default a new Paragraphs type does not contain any fields.","<em>Seitenabschnittstypen</em> können mit einem Klick auf <em>Seitenabschnittstyp hinzufügen</em> auf der Seite <a href="":paragraphs"">Seitenabschnittstypen</a> erstellt werden. Standardmässig enthält ein neuer Seitenabschnittstyp keine Felder.","",FALSE,"","",""
"src/Feeds/Target/Paragraphs.php:94","<strong>Note:</strong> Field options do not appear until a type has been chosen and saved.","<strong>Achtung:</strong> Feldoptionen werden solange nicht angezeigt, bis ein Typ ausgewählt und gespeichert wurde.","",FALSE,"","",""
"paragraphs.install:405","'@count Paragraphs processed.'","","",FALSE,"","",""
"modules/paragraphs_library/src/Controller/LibraryItemController.php:1","'@date: @label by @author'","","",FALSE,"","",""
"paragraphs.module:235","'@field_label (* unsupported)'","'@field_label (* nicht unterstützt)'","",FALSE,"","",""
"src/Plugin/migrate/D7ParagraphsItemDeriver.php:75","'@label (@type)'","","",FALSE,"","",""
"src/Plugin/Field/FieldWidget/InlineParagraphsWidget.php:295","'@messages'","","",FALSE,"","",""
"src/Plugin/Field/FieldWidget/ParagraphsWidget.php:2245","'@name field is required.'","Das Feld @name ist erforderlich.","",FALSE,"","",""
"src/Plugin/Field/FieldWidget/ParagraphsWidget.php:1680","'@title type'","Typ @title","",FALSE,"","",""
"modules/paragraphs_library/paragraphs_library.install:105","A flag indicating whether this is the default translation.","Eine Kennzeichnung, die angibt, ob es sich um die Standardübersetzung handelt.","",FALSE,"","",""
"modules/paragraphs_type_permissions/paragraphs_type_permissions.module:22","About","Info","",FALSE,"","",""
"src/Plugin/Field/FieldWidget/ParagraphsWidget.php:951;1690","Add @title","'@title hinzufügen'","",FALSE,"","",""
"src/Plugin/Field/FieldWidget/ParagraphsWidget.php:1625","Add @type","'@type hinzufügen'","",FALSE,"","",""
"paragraphs.routing.yml:0","Add Paragraphs type","Seitenabschnittstyp hinzufügen","",FALSE,"","",""
"modules/paragraphs_demo/config/optional/views.view.paragraphs_search.yml:0","Add a text and click on Apply to see results.","Fügen Sie Text hinzu und klicken Sie auf Anwenden, um Ergebnisse anzuzeigen.","",FALSE,"","",""
"src/Plugin/Field/FieldWidget/ParagraphsWidget.php:305","Add above","","",FALSE,"","",""
"src/Plugin/Field/FieldWidget/ParagraphsWidget.php:1693","Add another @title","Weiteren @title hinzufügen","",FALSE,"","",""
"modules/paragraphs_library/paragraphs_library.links.action.yml:0","Add library item","","",FALSE,"","",""
"src/Plugin/Field/FieldWidget/ParagraphsWidget.php:210","Add mode","Modus hinzufügen","",FALSE,"","",""
"src/Plugin/Field/FieldWidget/ParagraphsWidget.php:336","Add mode: @add_mode","Modus hinzufügen: @add_mode","",FALSE,"","",""
"paragraphs.links.menu.yml:0","Add paragraph type","Seitenabschnittstyp hinzufügen","",FALSE,"","",""
"modules/paragraphs_library/paragraphs_library.permissions.yml:0","Administer Paragraphs library","","",FALSE,"","",""
"paragraphs.permissions.yml:0;0","Administer Paragraphs settings","","",FALSE,"","",""
"paragraphs.permissions.yml:0","Administer Paragraphs types","Seitenabschnittstypen verwalten","",FALSE,"","",""
"paragraphs.module:33","Administrators can add a <em>Paragraph</em> field to content types or other entities, and configure which <em>Paragraphs types</em> to include. When users create content, they can then add one or more paragraphs by choosing the appropriate type from the dropdown list. Users can also dragdrop these paragraphs. This allows users to add structure to a page or other content (for example by adding an image, a user reference, or a differently formatted block of text) more easily then including it all in one text field or by using fields in a pre-defined order.","Administratoren können ein <em>Seitenabschnitts</em>-Feld zu Inhaltstypen oder anderen Entitäten hinzufügen und festlegen, welche <em>Seitenabschnittstypen</em> hierfür verfügbar sein sollen. Wenn Benutzer anschliessend Inhalte erstellen, können sie einen oder mehrere Seitenabschnitte hinzufügen, indem sie den gewünschten Seitenabschnittstyp aus der Liste wählen. Ausserdem können Benutzerr die Anzeigereihenfolge dieser Seiteanabschnitte per Drag-and-drop festlegen. So können Benutzer einer Seite oder anderen Inhalten eine Struktur verleihen (indem beispielsweise ein Bild, eine Benutzerreferenz oder ein anders formatierter Textblock hinzugefügt wird) und das wesentlich einfacher, als wenn sie all das in einem Textfeld oder in Vordefinierte Felder einfügen, deren Reihenfolge durch die Administratoren vorgegeben wurde und durch einen Benutzer nicht geändert werden kann.","",FALSE,"","",""
