"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/Form/SocialRealtimeCollaborationForm.php:81","API keys","API-Schlüssel","","False","","",""
"modules/social_collaboration_tab/modules/social_collaboration_tab_idea/src/Plugin/ActivityAction/SuggestActivityAction.php:7","Action that is triggered when new suggestion added","Aktion, die beim Hinzufügen eines neuen Vorschlags ausgelöst wird","","False","","",""
"modules/social_collaboration_tab/src/Form/SocialCollaborationTabSettingsForm.php:37","Active","Aktiv","","False","","",""
"modules/social_collaboration_tab/social_collaboration_tab.permissions.yml:0","Administer Collaboration Tab Settings","Einstellungen der Registerkarte ""Zusammenarbeit"" verwalten","","False","","",""
"social_realtime_collaboration.permissions.yml:0","Administer real-time collaboration","Verwalten von Echtzeit-Zusammenarbeit","","False","","",""
"modules/social_collaboration_tab/social_collaboration_tab.permissions.yml:0","Allow access to the collaboration tab settings form to configure comments and suggestions.","Ermöglichen Sie den Zugriff auf das Einstellungsformular für die Registerkarte Zusammenarbeit, um Kommentare und Vorschläge zu konfigurieren.","","False","","",""
"modules/social_collaboration_tab/config/schema/social_collaboration_tab.schema.yml:0","Allow regular users to leave comments in the description by default","Standardmässig können normale Nutzer Kommentare in der Beschreibung hinterlassen","","False","","",""
"modules/social_collaboration_tab/config/schema/social_collaboration_tab.schema.yml:0","Allow regular users to suggest changes in the description by default","Regelmässige Benutzer können standardmässig Änderungen an der Beschreibung vorschlagen","","False","","",""
"src/Form/SocialRealtimeCollaborationForm.php:233","Allowed content types","Erlaubte Inhaltstypen","","False","","",""
"src/Plugin/Editor/SocialRealtimeCollaborationCKEditor5.php:16","CKEditor 5","CKEditor 5","","False","","",""
"social_realtime_collaboration.module:46","Click <em>CKEditor</em> in the <em>Your products</em> section of the main menu.","Klicken Sie auf <em>CKEditor</em> im Abschnitt <em>Ihre Produkte</em> des Hauptmenüs.","","False","","",""
"social_realtime_collaboration.module:47","Click <em>Manage</em> in an item of the <em>Your subscriptions</em> page.","Klicken Sie auf <em>Verwalten</em> in einem Element auf der Seite <em>Ihre Abonnements</em>.","","False","","",""
"modules/social_collaboration_tab/config/install/core.entity_form_mode.node.collaboration.yml:0","Collaboration","Zusammenarbeit","","False","","",""
"src/Form/SocialRealtimeCollaborationForm.php:184","Collaboration URLs","URLs für die Zusammenarbeit","","False","","",""
"modules/social_collaboration_tab/social_collaboration_tab.module:135","Collaboration settings","Kollaborationseinstellungen","","False","","",""
"modules/social_collaboration_tab/social_collaboration_tab.routing.yml:0","Collaboration tab settings","Einstellungen auf der Registerkarte Zusammenarbeit","","False","","",""
"modules/social_collaboration_tab/src/Form/SocialCollaborationTabSettingsForm.php:46","Comments","Kommentare","","False","","",""
