"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"social_datalayer.permissions.yml:0","Administer datalayer settings","Verwalten der Einstellungen der Datenebene","","False","","",""
"social_datalayer.permissions.yml:0","Allows access to administering settings for the datalayer module.","Ermöglicht den Zugang zur Verwaltung der Einstellungen für das Datenschichtmodul.","","False","","",""
"social_datalayer.links.menu.yml:0","Configure the datalayer settings.","Konfigurieren Sie die Einstellungen für die Datenebene.","","False","","",""
"src/Plugin/AutomationAction/DatalayerUserLoginAction.php:10","Data","Daten","","False","","",""
"src/Plugin/AutomationAction/DatalayerUserSearchAction.php:12","Datalayer","Datenschicht","","False","","",""
"src/Form/DatalayerSettingsForm.php:36","Debug settings","Debug-Einstellungen","","False","","",""
"src/Form/DatalayerSettingsForm.php:46","Enable debug mode","Debug-Modus einschalten","","False","","",""
"src/Form/DatalayerSettingsForm.php:41","Enable or disable debug mode for the datalayer.","Aktivieren oder deaktivieren Sie den Debug-Modus für die Datenschicht.","","False","","",""
"social_datalayer.routing.yml:0","Event Storage","Speicherung von Ereignissen","","False","","",""
"modules/social_datalayer_gpi/social_datalayer_gpi.info.yml:0","GPI Datalayer custom templates and default page variables","Benutzerdefinierte Vorlagen und Standardseitenvariablen für GPI Datalayer","","False","","",""
"src/Plugin/AutomationAction/DatalayerEntityCreateAction.php:17","Push entity create information to datalayer (GTM)","Informationen zur Erstellung von Entitäten in die Datenschicht übertragen (GTM)","","False","","",""
"src/Plugin/AutomationAction/DatalayerEntityDeleteAction.php:12","Push entity delete information to datalayer (GTM)","Informationen über das Löschen von Entitäten in die Datenschicht übertragen (GTM)","","False","","",""
"src/Plugin/AutomationAction/DatalayerUserLoginAction.php:10","Push login information to datalayer (GTM)","Anmeldeinformationen an die Datenschicht übertragen (GTM)","","False","","",""
"src/Plugin/AutomationAction/DatalayerUserLogoutAction.php:10","Push logout information to datalayer (GTM)","Abmeldeinformationen an die Datenschicht übertragen (GTM)","","False","","",""
"src/Plugin/AutomationAction/DatalayerUserSearchAction.php:12","Push search information to datalayer (GTM)","Suchinformationen in die Datenschicht übertragen (GTM)","","False","","",""
"src/Plugin/AutomationAction/DatalayerUserRegisterAction.php:11","Push user registration information to datalayer (GTM)","Benutzerregistrierungsinformationen an die Datenschicht weiterleiten (GTM)","","False","","",""
"social_datalayer.info.yml:0","Pushes events to the Google Tag Manager datalayer.","Gibt Ereignisse an die Google Tag Manager-Datenebene weiter.","","False","","",""
"modules/social_datalayer_gpi/social_datalayer_gpi.info.yml:0","Social","Social","","False","","",""
"config/schema/social_datalayer.schema.yml:0","Social Datalayer","Soziale Datenschicht","","False","","",""
"modules/social_datalayer_gpi/social_datalayer_gpi.info.yml:0","Social Datalayer GPI","Soziale Datenschicht GPI","","False","","",""
"social_datalayer.routing.yml:0","Social Datalayer Settings","Einstellungen der sozialen Datenschicht","","False","","",""
"src/Plugin/AutomationAction/DatalayerUserLoginAction.php:10","Specifies the data to be modified using a data selector, e.g. 'node.author.name'.","Gibt die zu ändernden Daten mit Hilfe eines Datenselektors an, z. B. ""node.author.name"".","","False","","",""
"src/Plugin/AutomationAction/DatalayerEntityDeleteAction.php:12","Specifies the data to be modified using a data selector, e.g. 'post, comment, node.author.name'.","Gibt die zu ändernden Daten mit Hilfe eines Datenselektors an, z. B. ""post, comment, node.author.name"".","","False","","",""
"src/Form/DatalayerSettingsForm.php:48","With the debug mode enabled, the console will output some data when sending or when something fails.","Wenn der Debug-Modus aktiviert ist, gibt die Konsole beim Senden oder bei Fehlern einige Daten aus.","","False","","",""
