"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/ImportUser.php:132","'@operation: Processed @count items (@created created, @updated updated, @failed failed, @ignored ignored)'","","","False","","",""
"social_migrate.permissions.yml:0","Access to configuration the migration of users","","","False","","",""
"social_migrate.permissions.yml:0","Access to import users","","","False","","",""
"social_migrate.module:142","Body","Corps","","False","","",""
"src/Form/MigrateUsersForm.php:68","CSV File. Should be in the format as the @link","","","False","","",""
"src/Form/MigrateUsersSettingsForm.php:244","CSV field: @field","","","False","","",""
"social_migrate.permissions.yml:0","Configure import","","","False","","",""
"src/Form/MigrateUsersSettingsForm.php:129","Current queue will be processed and users from queue will receive invitation immediately","","","False","","",""
"src/Form/MigrateUsersForm.php:57","Email invitations will be send immediately by cron.","","","False","","",""
"src/Form/MigrateUsersForm.php:61","Email invitations will not be send immediately.","","","False","","",""
"assets/js/social_migrate.settings.js:0","Example CSV file","","","False","","",""
"src/Form/MigrateUsersSettingsForm.php:135","Fields to import","","","False","","",""
"src/Commands/MigrateCommands.php:62;104","File @filename doesn't exists.","","","False","","",""
"src/Form/MigrateUsersForm.php:111","File should be a CSV format","","","False","","",""
"src/Form/MigrateUsersForm.php:90","If do not set, already existing accounts will be skipped.","","","False","","",""
"config/install/migrate_plus.migration.social_users.yml:0","Import user accounts","","","False","","",""
"config/install/migrate_plus.migration.social_profiles.yml:0","Import user profiles","","","False","","",""
"social_migrate.permissions.yml:0","Import users","","","False","","",""
"src/Form/MigrateUsersSettingsForm.php:102","Invitation status","Statut","","False","","",""
"src/Form/MigrateUsersSettingsForm.php:123","Invites sent: @invites","","","False","","",""
"social_migrate.links.task.yml:0","Migration","","","False","","",""
"src/Form/MigrateUsersForm.php:153","Migration @id did not meet the requirements. @message @requirements","La migration @id n'a pas rempli les pré-requis. @message @requirements","","False","","",""
"src/Form/MigrateUsersForm.php:140","Migration @id is busy with another operation: @status","La migration @id est occupée avec une autre action : @status","","False","","",""
"src/Form/MigrateUsersForm.php:168;200","Migration failed with source plugin exception: @e","La migration a échoué avec l'exception de plugin source&nbsp;: @e","","False","","",""
"social_migrate.routing.yml:0","Migration settings","","","False","","",""
"social_migrate.routing.yml:0","Migration users","","","False","","",""
"social_migrate.links.menu.yml:0","Migration users settings","","","False","","",""
"src/ImportUser.php:91","New object was not saved, no error provided","Le nouvel objet n'a pas été enregistré, aucune erreur fournie","","False","","",""
"src/Form/MigrateUsersForm.php:214","No items to import","","","False","","",""
"social_migrate.info.yml:0","Provides users transfer from legacy platform","","","False","","",""
"src/Form/MigrateUsersSettingsForm.php:128","Send invites","","","False","","",""
"src/Plugin/QueueWorker/SendInvites.php:12","Send invites to the imported users","","","False","","",""
"social_migrate.info.yml:0","Social","Social","","False","","",""
"social_migrate.info.yml:0","Social Migrate","","","False","","",""
"src/Form/MigrateUsersForm.php:67","Source","","","False","","",""
"social_migrate.module:135","Subject","Objet","","False","","",""
"src/Form/MigrateUsersForm.php:99","Submit","Publier","","False","","",""
"src/Commands/MigrateCommands.php:57;99","The ""migration"" parameter is invalid","","","False","","",""
"src/Form/MigrateUsersForm.php:126","The CSV file contains duplicates: @list","","","False","","",""
"src/Form/MigrateUsersSettingsForm.php:136","The list of fields will be imported during migration","","","False","","",""
"social_migrate.module:127","This message will be sent to users when users are migrated or imported.","","","False","","",""
"src/Form/MigrateUsersForm.php:89","Update existing accounts","","","False","","",""
"src/Form/MigrateUsersSettingsForm.php:111","Users imported: @users","","","False","","",""
"src/Form/MigrateUsersSettingsForm.php:117","Users in queue: @users","","","False","","",""
"social_migrate.module:126","Welcome (invitation after migration)","","","False","","",""
