"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/Form/SettingsForm.php:42","Amount of days, months or years","Anzahl der Tage, Monate oder Jahre","","False","","",""
"src/Form/SettingsForm.php:44","Cancel, delete or block users who have been inactive for","Stornieren, Löschen oder Sperren von Nutzern, die inaktiv sind seit","","False","","",""
"src/Form/SettingsForm.php:86","Delete the account, delete its private messages, and anonymize all other content. Reassign the groups to the super administrator.","Löschen Sie das Konto, löschen Sie seine privaten Nachrichten und anonymisieren Sie alle anderen Inhalte. Weisen Sie die Gruppen dem Superadministrator neu zu.","","False","","",""
"src/Form/SettingsForm.php:91","Delete/disable users now","Benutzer jetzt löschen/deaktivieren","","False","","",""
"src/Form/SettingsForm.php:43","Fill in the amount of days, months or years a user has not logged in, also includes users who never logged in for that period and includes blocked users.","Geben Sie die Anzahl der Tage, Monate oder Jahre ein, an denen sich ein Benutzer nicht angemeldet hat, einschliesslich der Benutzer, die sich in diesem Zeitraum nie angemeldet haben, und der gesperrten Benutzer.","","False","","",""
"social_user_purge.links.menu.yml:0","Inactive user settings","Inaktive Benutzereinstellungen","","False","","",""
"src/Form/SettingsForm.php:79","Purge in the background.","Bereinigung im Hintergrund.","","False","","",""
"social_user_purge.info.yml:0","Social","Sozial","","False","","",""
"social_user_purge.info.yml:0","Social User Purge","Bereinigung sozialer Benutzer","","False","","",""
"social_user_purge.info.yml:0","This module adds a new option to purge inactive users.","Dieses Modul fügt eine neue Option zur Löschung inaktiver Benutzer hinzu.","","False","","",""
