"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"social_thx.module:124;158","Could not write reward to blockchain.","Impossible d'écrire une récompense sur la blockchain.","","False","","",""
"src/Plugin/AutomationAction/RewardThxAction.php:13","Data","Données","","False","","",""
"src/Plugin/AutomationAction/RewardThxAction.php:13","Gamification","Gamification","","False","","",""
"social_thx.info.yml:0","Module to handle thx reward in social_gamification.","Module pour gérer les récompenses dans social_gamification.","","False","","",""
"src/Plugin/AutomationAction/RewardThxAction.php:13","Reward","Récompense","","False","","",""
"src/Plugin/AutomationAction/RewardThxAction.php:13","Reward some tokens (ERC-20) for the given action","Récompense en jetons (ERC-20) pour l'action donnée","","False","","",""
"social_thx.info.yml:0","Social","Social","","False","","",""
"social_thx.info.yml:0","Social Thx","Social Thx","","False","","",""
"src/Plugin/AutomationAction/RewardThxAction.php:13","Specifies the data to be modified using a data selector, e.g. 'post, comment, node.author.name'.","Spécifie les données à modifier à l'aide d'un sélecteur de données, par exemple ""post, comment, node.author.name"".","","False","","",""
"src/Plugin/AutomationAction/RewardThxAction.php:13","The reward_id","L'identifiant de la récompense","","False","","",""
