"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"config/install/views.view.organizations.yml:0;0;0;0;0;0;0;0;0",",",",","","False","","",""
"config/install/views.view.organizations.yml:0","'- All -'","'- Tout -'","","False","","",""
"src/EventSubscriber/PlatformIntroBlockSubscriber.php:81","<p>In this space, you can customize a message for your new members. You can provide a short summary on what you do, how you do it and how your members can get involved!</p>
           <p>Here are some tips about introducing your Organization to your members:</p>
          <ul>
            <li>Tell your members about your values and what you care about.</li>
            <li>Walk your members through your future plans!</li>
            <li>Inspire your members to act by promoting your newest campaign.</li>
          </ul>","<p>Dans cet espace, vous pouvez personnaliser un message pour vos nouveaux membres. Vous pouvez résumer brièvement ce que vous faites, comment vous le faites et comment vos membres peuvent s'impliquer !</p>
           <p>Voici quelques conseils pour présenter votre organisation à vos membres :</p>
          <ul>
           <li>Parlez à vos membres de vos valeurs et de ce qui vous tient à cœur.</li>
            <li>Présentez à vos membres vos projets d'avenir !</li>
            <li>Incitez vos membres à agir en faisant la promotion de votre dernière campagne.</li>
          </ul>","","False","","",""
"src/Form/SocialOrganizationConfirmFormBase.php:66","'@action membership request for an organization'","Demande d'adhésion à @action pour une organisation","","False","","",""
"src/Form/SocialOrganizationConfirmFormBase.php:74","'@action membership request for the organization @organization'","'@action demande d'adhésion à l'organisation @organization'","","False","","",""
"src/Form/SocialOrganizationAddForm.php:119","'@count new member joined the organization.'","'@count nouveau membre a rejoint l'organisation.'","","False","","",""
"src/Service/SocialOrganizationHelper.php:171","'@error_list'","'@error_list'","","False","","",""
"social_organization.module:228","'@old is replaced by @new.'","'@old est remplacé par @new.'","","False","","",""
"src/Form/SocialOrganizationEntityForm.php:178","'@type %title has been created.'","Le contenu '%title', de type '@type', a été créé.","","False","","",""
"src/Form/SocialOrganizationEntityForm.php:189","'@type %title has been updated.'","'@type %title a été mis à jour.'","","False","","",""
"modules/social_organization_tag/social_organization_tag.module:18","About","À propos","","False","","",""
"src/Controller/SocialOrganizationController.php:59","About @name","A propos de @name","","False","","",""
"src/RequestListBuilder.php:56","Action","Action","","False","","",""
"src/Form/SocialOrganizationAddForm.php:74","Add a member","Ajouter un membre","","False","","",""
"social_organization.links.action.yml:0","Add an organization","Ajouter une organisation","","False","","",""
"src/Controller/SocialOrganizationController.php:91","Add members to organization: @name","Ajouter des membres à l'organisation : @name","","False","","",""
"src/Entity/Organization.php:473","Address","Adresse","","False","","",""
"social_organization.permissions.yml:0","Administer entities","Administrer les entités","","False","","",""
"social_organization.permissions.yml:0","Administer organization","Administrer l'organisation","","False","","",""
"config/install/views.view.organization_followers.yml:0","All","Tout","","False","","",""
"modules/social_organization_content_block/src/OrganizationStorage.php:52","All @label","Tous les @label","","False","","",""
"config/install/views.view.organizations.yml:0;0","All organizations","Toutes les organisations","","False","","",""
"social_organization.module:1043","All visitors of the platform can see this organization","Tous les visiteurs de la plateforme peuvent voir cette organisation","","False","","",""
"config/schema/social_organization.schema.yml:0","Allow LU to create an organizations","Permettre à l'UGB de créer une organisation","","False","","",""
"src/Form/SocialOrganizationSettingsForm.php:101","Allow Organization mangers to automatically verify users accepted to their Organization","Permettre aux responsables d'organisations de vérifier automatiquement les utilisateurs acceptés dans leur organisation","","False","","",""
"src/Form/SocialOrganizationSettingsForm.php:91","Allow authenticated users to create organizations","Permettre aux utilisateurs authentifiés de créer des organisations","","False","","",""
"social_organization.permissions.yml:0","Allow to access the administration form to configure entities.","Autoriser l'accès au formulaire d'administration pour configurer les entités.","","False","","",""
