"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/ImportUser.php:132","'@operation: Processed @count items (@created created, @updated updated, @failed failed, @ignored ignored)'","","",FALSE,"","",""
"social_migrate.permissions.yml:0","Access to configuration the migration of users","","",FALSE,"","",""
"social_migrate.permissions.yml:0","Access to import users","","",FALSE,"","",""
"social_migrate.module:142","Body","Texte","",FALSE,"","",""
"src/Form/MigrateUsersForm.php:68","CSV File. Should be in the format as the @link","","",FALSE,"","",""
"src/Form/MigrateUsersSettingsForm.php:244","CSV field: @field","","",FALSE,"","",""
"social_migrate.permissions.yml:0","Configure import","","",FALSE,"","",""
"src/Form/MigrateUsersSettingsForm.php:129","Current queue will be processed and users from queue will receive invitation immediately","","",FALSE,"","",""
"src/Form/MigrateUsersForm.php:57","Email invitations will be send immediately by cron.","","",FALSE,"","",""
"src/Form/MigrateUsersForm.php:61","Email invitations will not be send immediately.","","",FALSE,"","",""
"assets/js/social_migrate.settings.js:0","Example CSV file","","",FALSE,"","",""
"src/Form/MigrateUsersSettingsForm.php:135","Fields to import","","",FALSE,"","",""
"src/Commands/MigrateCommands.php:62;104","File @filename doesn't exists.","","",FALSE,"","",""
"src/Form/MigrateUsersForm.php:111","File should be a CSV format","","",FALSE,"","",""
"src/Form/MigrateUsersForm.php:90","If do not set, already existing accounts will be skipped.","","",FALSE,"","",""
"config/install/migrate_plus.migration.social_users.yml:0","Import user accounts","","",FALSE,"","",""
"config/install/migrate_plus.migration.social_profiles.yml:0","Import user profiles","","",FALSE,"","",""
"social_migrate.permissions.yml:0","Import users","","",FALSE,"","",""
"src/Form/MigrateUsersSettingsForm.php:102","Invitation status","Statut","",FALSE,"","",""
"src/Form/MigrateUsersSettingsForm.php:123","Invites sent: @invites","","",FALSE,"","",""
"social_migrate.links.task.yml:0","Migration","","",FALSE,"","",""
"src/Form/MigrateUsersForm.php:153","Migration @id did not meet the requirements. @message @requirements","La migration @id n'a pas rempli les pré-requis. @message @requirements","",FALSE,"","",""
"src/Form/MigrateUsersForm.php:140","Migration @id is busy with another operation: @status","La migration @id est occupée avec une autre action : @status","",FALSE,"","",""
"src/Form/MigrateUsersForm.php:168;200","Migration failed with source plugin exception: @e","La migration a échoué avec l'exception de plugin source&nbsp;: @e","",FALSE,"","",""
"social_migrate.routing.yml:0","Migration settings","","",FALSE,"","",""
"social_migrate.routing.yml:0","Migration users","","",FALSE,"","",""
"social_migrate.links.menu.yml:0","Migration users settings","","",FALSE,"","",""
"src/ImportUser.php:91","New object was not saved, no error provided","Le nouvel objet n'a pas été enregistré, aucune erreur fournie","",FALSE,"","",""
"src/Form/MigrateUsersForm.php:214","No items to import","","",FALSE,"","",""
"social_migrate.info.yml:0","Provides users transfer from legacy platform","","",FALSE,"","",""
"src/Form/MigrateUsersSettingsForm.php:128","Send invites","","",FALSE,"","",""
"src/Plugin/QueueWorker/SendInvites.php:12","Send invites to the imported users","","",FALSE,"","",""
"social_migrate.info.yml:0","Social","Social","",FALSE,"","",""
"social_migrate.info.yml:0","Social Migrate","","",FALSE,"","",""
"src/Form/MigrateUsersForm.php:67","Source","","",FALSE,"","",""
"social_migrate.module:135","Subject","Objet","",FALSE,"","",""
"src/Form/MigrateUsersForm.php:99","Submit","Publier","",FALSE,"","",""
"src/Commands/MigrateCommands.php:57;99","The ""migration"" parameter is invalid","","",FALSE,"","",""
"src/Form/MigrateUsersForm.php:126","The CSV file contains duplicates: @list","","",FALSE,"","",""
"src/Form/MigrateUsersSettingsForm.php:136","The list of fields will be imported during migration","","",FALSE,"","",""
"social_migrate.module:127","This message will be sent to users when users are migrated or imported.","","",FALSE,"","",""
"src/Form/MigrateUsersForm.php:89","Update existing accounts","","",FALSE,"","",""
"src/Form/MigrateUsersSettingsForm.php:111","Users imported: @users","","",FALSE,"","",""
"src/Form/MigrateUsersSettingsForm.php:117","Users in queue: @users","","",FALSE,"","",""
"social_migrate.module:126","Welcome (invitation after migration)","","",FALSE,"","",""
