"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"social_clone.permissions.yml:0","Administer Social Clone settings","","","False","","",""
"social_clone.links.menu.yml:0","Basic settings for cloning entities.","","","False","","",""
"src/Plugin/Cloner/Form/EntityDefaultCloneForm.php:59","Become the owner of the newly cloned @bundle.","Werde der:die Besitzer:in des neu geklonten @bundle.","","False","","",""
"src/Plugin/Cloner/Form/NodeEventCloneForm.php:8","Clone","Klonen","","False","","",""
"social_clone.module:21","Clone @bundle","'@bundle klonen'","","False","","",""
"src/Plugin/Cloner/Form/EntityDefaultCloneForm.php:12","Clone any entity","Jede Entität klonen","","False","","",""
"src/Plugin/Cloner/Form/NodeDashboardCloneForm.php:8","Clone dashboard","Dashboard klonen","","False","","",""
"src/Plugin/Cloner/Form/NodeEventCloneForm.php:8","Clone node event","","","False","","",""
"social_clone.links.menu.yml:0","Cloning settings","Einstellungen zum Klonen","","False","","",""
"src/Form/SocialCloneSettingsForm.php:62","Entity types","Entitätstypen","","False","","",""
"src/Plugin/Cloner/Form/EntityDefaultCloneForm.php:49","New @bundle title","Neuer @bundle-Titel","","False","","",""
"social_clone.info.yml:0","Provides clone functionality for any entity.","","","False","","",""
"src/Plugin/Cloner/Form/EntityDefaultCloneForm.php:66","Published","Veröffentlicht","","False","","",""
"src/Form/SocialCloneSettingsForm.php:63","Select entity types you want to have be able to clone.","","","False","","",""
"social_clone.info.yml:0","Social","","","False","","",""
"social_clone.info.yml:0","Social Clone","","","False","","",""
"config/schema/social_clone.schema.yml:0","Social Clone settings","","","False","","",""
"src/Plugin/Cloner/Form/EntityDefaultCloneForm.php:57","Take ownership","","","False","","",""
"src/Plugin/Cloner/Form/EntityDefaultCloneForm.php:80","Title for new entity must be different from original.","Der Titel für die neue Entität muss sich vom Original unterscheiden.","","False","","",""
"src/Plugin/Cloner/Form/EntityDefaultCloneForm.php:68","Your cloned @bundle remains unpublished to allow edits, switch on to share with the community imminently.","Dein geklontes @bundle bleibt unveröffentlicht, um Änderungen zu ermöglichen. Schalte es ein, um es in Kürze mit der Community zu teilen.","","False","","",""
