"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/Form/SocialRenamerSettingsForm.php:86","A topic","Ein Thema","","False","","",""
"social_renamer.permissions.yml:0","Administer renamer settings","Verwalten von Umbenennungseinstellungen","","False","","",""
"social_renamer.info.yml:0","Allows to rename content types, groups, users profiles","Ermöglicht die Umbenennung von Inhaltstypen, Gruppen und Benutzerprofilen","","False","","",""
"src/Form/SocialRenamerSettingsForm.php:88","E.g. ""a project"", ""an initiative"", ""a topic"".","Z. B. ""ein Projekt"", ""eine Initiative"", ""ein Thema"".","","False","","",""
"src/Form/SocialRenamerSettingsForm.php:94","Plural","Plural","","False","","",""
"social_renamer.links.menu.yml:0","Rename terms in the platform","Begriffe auf der Plattform umbenennen","","False","","",""
"src/Form/SocialRenamerSettingsForm.php:75","Rename topic","Thema umbenennen","","False","","",""
"social_renamer.links.menu.yml:0","Renamer settings","Renamer-Einstellungen","","False","","",""
"social_renamer.info.yml:0","Social","Sozial","","False","","",""
"social_renamer.routing.yml:0","Social Renamer","Social Renamer","","False","","",""
"src/Form/SocialRenamerSettingsForm.php:116","This field should not be an empty value.","Dieses Feld sollte kein leerer Wert sein.","","False","","",""
"src/Form/SocialRenamerSettingsForm.php:81","Topic","Inhalt","","False","","",""
"src/Form/SocialRenamerSettingsForm.php:70","Topic settings","Einstellungen zum Thema","","False","","",""
"src/Form/SocialRenamerSettingsForm.php:92","Topics","Inhalte","","False","","",""
"src/Form/SocialRenamerSettingsForm.php:77","When enabled, all the strings with topic will be replaced according to the settings below.","Wenn diese Option aktiviert ist, werden alle Zeichenketten mit dem Thema entsprechend den unten aufgeführten Einstellungen ersetzt.","","False","","",""
