"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/Form/SettingsForm.php:42","Amount of days, months or years","Nombre de jours, de mois ou d'années","","False","","",""
"src/Form/SettingsForm.php:44","Cancel, delete or block users who have been inactive for","Annuler, supprimer ou bloquer les utilisateurs qui sont inactifs depuis","","False","","",""
"src/Form/SettingsForm.php:86","Delete the account, delete its private messages, and anonymize all other content. Reassign the groups to the super administrator.","Supprimez le compte, supprimez ses messages privés et rendez anonyme tout le reste du contenu. Réassignez les groupes au super administrateur.","","False","","",""
"src/Form/SettingsForm.php:91","Delete/disable users now","Supprimer/désactiver des utilisateurs maintenant","","False","","",""
"src/Form/SettingsForm.php:43","Fill in the amount of days, months or years a user has not logged in, also includes users who never logged in for that period and includes blocked users.","Indiquez le nombre de jours, de mois ou d'années pendant lesquels un utilisateur ne s'est pas connecté, y compris les utilisateurs qui ne se sont jamais connectés pendant cette période et les utilisateurs bloqués.","","False","","",""
"social_user_purge.links.menu.yml:0","Inactive user settings","Paramètres utilisateur inactifs","","False","","",""
"src/Form/SettingsForm.php:79","Purge in the background.","Purge en arrière-plan.","","False","","",""
"social_user_purge.info.yml:0","Social","Social","","False","","",""
"social_user_purge.info.yml:0","Social User Purge","Purge des utilisateurs sociaux","","False","","",""
"social_user_purge.info.yml:0","This module adds a new option to purge inactive users.","Ce module ajoute une nouvelle option pour purger les utilisateurs inactifs.","","False","","",""
