"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"templates/group/group--teaser--sky.html.twig:108","1 member","1 utente","",FALSE,"","",""
"templates/node/album/node--album--hero--sky.html.twig:84","'@owner's Albums'","'@owner's Album'","",FALSE,"","",""
"templates/profile/profile--profile--default--sky.html.twig:196","'@profile_name @profile_name_extra has not shared profile information.'","'@profile_name @profile_name_extra non ha condiviso le informazioni del profilo.'","",FALSE,"","",""
"color/color.inc:13","Accent color","Accent color","",FALSE,"","",""
"color/color.inc:14","Accent text color","Colore del testo in evidenza","",FALSE,"","",""
"templates/group/group--statistic.html.twig:32","Accept","Accetta","",FALSE,"","",""
"templates/node/album/node--album--full--sky.html.twig:8","Add images","Aggiungi immagini","",FALSE,"","",""
"templates/profile/profile--profile--default--sky.html.twig:102","Address","Indirizzi","",FALSE,"","",""
"theme-settings.php:163","Allows you to render the Content Entity Forms in Open Social style. This means we remove a lot of Drupal look and feel and logic.
        Buttons on the create content are changed from Save to Create. The advanced details, e.g. the vertical tabs added in Drupal core
        are not rendered anymore, instead we use a collapsible fieldset.
        Fields like revision, URL Redirect are unset. The preview button is removed and more.","","",FALSE,"","",""
"templates/node/node--teaser--sky.html.twig:9","Author name","","",FALSE,"","",""
"templates/node/album/node--album--hero--sky.html.twig:79","Back to @owner's Albums","","",FALSE,"","",""
"templates/node/album/node--album--hero--sky.html.twig:81","Back to owner's albums","","",FALSE,"","",""
"theme-settings.php:46","Border radius","","",FALSE,"","",""
"socialblue.info.yml:0","Breadcrumb","","",FALSE,"","",""
"theme-settings.php:77","Button border radius (px)","","",FALSE,"","",""
"config/schema/socialblue.schema.yml:0","Button radius","","",FALSE,"","",""
"templates/group/group--statistic.html.twig:50","Cancel request","Elimina la richiesta","",FALSE,"","",""
"theme-settings.php:63","Card border radius (px)","","",FALSE,"","",""
"config/schema/socialblue.schema.yml:0","Card radius","","",FALSE,"","",""
"templates/group/group--teaser--sky.html.twig:84","Closed group","","",FALSE,"","",""
"config/schema/socialblue.schema.yml:0","Color accent","","",FALSE,"","",""
