"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"token.module:295","'%name is using the following invalid tokens: @invalid-tokens.'","Das Feld %name enthält folgende ungültige Token: @invalid-tokens.","","False","","",""
"token.module:281","'%name must contain at least one token.'","'%name muss mindestens einen Token enthalten.'","","False","","",""
"token.module:287","'%name must contain at most one token.'","'%name darf nicht mehr als einen Token enthalten.'","","False","","",""
"token.tokens.inc:1569","'@label tokens.'","'@label Token.'","","False","","",""
"token.tokens.inc:1552","'@type field.'","Feld @type.","","False","","",""
"token.tokens.inc:1549","'@type field. Also known as %labels.'","'@type Feld auch bekannt als %labels.'","","False","","",""
"token.tokens.inc:1587","'@type type with delta @delta'","'@type Typ mit Delta @delta'","","False","","",""
"token.tokens.inc:124","A date in '@type' format. (%date)","Ein Datum im Format ‚@type‘  (%date).","","False","","",""
"token.tokens.inc:429","A random hash. The possible hashing algorithms are: @hash-algos.","Ein zufälliger Hash. Die möglichen Hash-Algorithmen sind: @hash-algos.","","False","","",""
"token.tokens.inc:425","A random number from 0 to @max.","Eine Zufallszahl zwischen 0 und @max.","","False","","",""
"token.module:33","About","Info","","False","","",""
"token.tokens.inc:360","Absolute URL","","","False","","",""
"token.tokens.inc:227","Account cancellation URL","URL zum Löschen des Benutzerkontos","","False","","",""
"token.tokens.inc:276","An array of all the menu link's parents, starting with the root.","Ein Array mit allen dem Menüpunkt übergeordneten Punkten, beginnend mit der obersten Ebene.","","False","","",""
"token.tokens.inc:1207","An array of all the node's parents, starting with the root.","Ein Array mit allen übergeordneten Beiträgen, beginnend mit der obersten Ebene.","","False","","",""
"token.tokens.inc:190","An array of all the term's parents, starting with the root.","Ein Array mit allen dem Begriff übergeordneten Begriffen beginnend mit der obersten Ebene.","","False","","",""
"token.tokens.inc:373","Arguments","Argumente","","False","","",""
"token.tokens.inc:380","Array","","","False","","",""
"token.tokens.inc:1169","Attempting to perform token replacement for token type %type without required data","Versuch des Ersetzens von Patzhaltern %type ohne die erforderlichen Daten","","False","","",""
"token.tokens.inc:1191","Author","Autor:in","","False","","",""
"src/Controller/TokenTreeController.php:51","Available tokens","Verfügbare Tokens","","False","","",""
"token.module:364","Available variables are: [site:name], [site:url], [user:display-name], [user:account-name], [user:mail], [site:login-url], [site:url-brief], [user:edit-url], [user:one-time-login-url], [user:cancel-url].","Verfügbare Tokens: [site:name], [site:url], [user:display-name], [user:account-name], [user:mail], [site:login-url], [site:url-brief], [user:edit-url], [user:one-time-login-url], [user:cancel-url].","","False","","",""
"token.tokens.inc:212","Base name","Basisname","","False","","",""
"token.tokens.inc:1181;1212","Book","Buch","","False","","",""
"token.tokens.inc:364","Brief URL","Kurze URL","","False","","",""
"token.pages.inc:17","Browse available tokens.","Verfügbare Token durchsuchen.","","False","","",""
"src/Element/TokenTreeTable.php:104","Click a token to insert it into the field you've last clicked.","Klicken Sie auf ein Token, um es in das Feld einfügen, auf das Sie zuletzt geklickt haben.","","False","","",""
"token.module:654","Computed menu link for the node (only available during node saving).","Automatisch erstellter Menülink für den Beitrag (nur während des Speichervorgangs verfügbar).","","False","","",""
"token.tokens.inc:340","Content language","","","False","","",""
"token.tokens.inc:147","Content type","Inhaltstyp","","False","","",""
"token.tokens.inc:154","Content types","Inhaltstypen","","False","","",""
"token.tokens.inc:394","Count","Anzahl","","False","","",""
"token.tokens.inc:40","Current date","Aktuelles Datum","","False","","",""
"token.tokens.inc:313","Current page","Aktuelle Seite","","False","","",""
"src/Element/TokenTreeTable.php:94","Description","Beschreibung","","False","","",""
"token.tokens.inc:299","Direction","","","False","","",""
"token.tokens.inc:303","Domain","","","False","","",""
"token.tokens.inc:175;184;204;1312;1322","Edit URL","URL bearbeiten","","False","","",""
"token.tokens.inc:216","Extension","Erweiterung","","False","","",""
"token.tokens.inc:220","File byte size","Größe der Datei in Byte","","False","","",""
"token.tokens.inc:448","File size","Dateigröße","","False","","",""
"token.tokens.inc:386","First","Erste","","False","","",""
